"date","category","earned","earned_cumulative","budget","planned_cumulative"
"01/08/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"01/08/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"01/08/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"01/08/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"01/08/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"01/08/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"01/08/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"01/08/2018","P7.2.057 Landscaping",NA,NA,600,NA
"01/08/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"01/08/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"01/08/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"01/09/2018","",NA,NA,4.37554,NA
"01/09/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"01/09/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"01/09/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"01/09/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"01/09/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"01/09/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"01/09/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"01/09/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"01/09/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"01/09/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"01/09/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"01/09/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"01/09/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"01/09/2018","P7.2.057 Landscaping",NA,NA,600,NA
"01/09/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"01/09/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"01/09/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"01/10/2018","",0.02592,0.27114,4.37554,NA
"01/10/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"01/10/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"01/10/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"01/10/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"01/10/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"01/10/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"01/10/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"01/10/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"01/10/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,739.2
"01/10/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"01/10/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"01/10/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"01/10/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"01/10/2018","P7.2.057 Landscaping",NA,NA,600,NA
"01/10/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"01/10/2018","P7.2.062 Earthworks and Access Tracks",NA,1482.22092082043,1806.15920716332,1058
"01/10/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"01/11/2018","",NA,1.2226359,4.37554,NA
"01/11/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"01/11/2018","P7.2.003 PV Module Supply",NA,NA,NA,1.84
"01/11/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,4.22
"01/11/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"01/11/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"01/11/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,57.16
"01/11/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,1633.25
"01/11/2018","P7.2.012 Piling",137.54218769475,4929.20125697941,12438.475017612,1295.51
"01/11/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,276.74
"01/11/2018","P7.2.015 Fencing & Gates",NA,243.20898,2220.801105,2200
"01/11/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"01/11/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,42.7858838469103,93792,NA
"01/11/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"01/11/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"01/11/2018","P7.2.054 Shipping - Piles (FOB China to Site)",NA,NA,NA,1.75
"01/11/2018","P7.2.057 Landscaping",NA,NA,600,NA
"01/11/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"01/11/2018","P7.2.062 Earthworks and Access Tracks",NA,1680.94097811602,1806.15920716332,1159.95
"01/11/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"01/12/2018","",NA,2.2085885,4.37554,NA
"01/12/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"01/12/2018","P7.2.003 PV Module Supply",NA,NA,NA,6.19999999999999
"01/12/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,7.86
"01/12/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"01/12/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"01/12/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,1062.53
"01/12/2018","P7.2.011 Roads and PCU Earthworks",NA,1380.64091847377,4480.34095470976,2858.2
"01/12/2018","P7.2.012 Piling",179.5758335876,11343.3873077281,12438.475017612,3864.34
"01/12/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,2314.4
"01/12/2018","P7.2.015 Fencing & Gates",NA,904.594246875,2220.801105,2200
"01/12/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,1406.19
"01/12/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",203.892948568769,9033.1320955831,93792,15127.98
"01/12/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"01/12/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"01/12/2018","P7.2.054 Shipping - Piles (FOB China to Site)",NA,NA,NA,3.85
"01/12/2018","P7.2.057 Landscaping",NA,NA,600,NA
"01/12/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,118.92
"01/12/2018","P7.2.062 Earthworks and Access Tracks",NA,1680.94097811602,1806.15920716332,1159.95
"01/12/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"02/01/2018","",NA,NA,4.37554,NA
"02/01/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"02/01/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"02/01/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"02/01/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"02/01/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"02/01/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"02/01/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"02/01/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"02/01/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"02/01/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"02/01/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"02/01/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"02/01/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"02/01/2018","P7.2.057 Landscaping",NA,NA,600,NA
"02/01/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"02/01/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"02/01/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"02/02/2018","",NA,NA,4.37554,NA
"02/02/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"02/02/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"02/02/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"02/02/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"02/02/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"02/02/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"02/02/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"02/02/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"02/02/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"02/02/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"02/02/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"02/02/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"02/02/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"02/02/2018","P7.2.057 Landscaping",NA,NA,600,NA
"02/02/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"02/02/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"02/02/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"02/03/2018","",NA,NA,4.37554,NA
"02/03/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"02/03/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"02/03/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"02/03/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"02/03/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"02/03/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"02/03/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"02/03/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"02/03/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"02/03/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"02/03/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"02/03/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"02/03/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"02/03/2018","P7.2.057 Landscaping",NA,NA,600,NA
"02/03/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"02/03/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"02/03/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"02/04/2018","",NA,NA,4.37554,NA
"02/04/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"02/04/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"02/04/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"02/04/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"02/04/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"02/04/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"02/04/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"02/04/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"02/04/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"02/04/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"02/04/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"02/04/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"02/04/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"02/04/2018","P7.2.057 Landscaping",NA,NA,600,NA
"02/04/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"02/04/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"02/04/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"02/05/2018","",NA,NA,4.37554,NA
"02/05/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"02/05/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"02/05/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"02/05/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"02/05/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"02/05/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"02/05/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"02/05/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"02/05/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"02/05/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"02/05/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"02/05/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"02/05/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"02/05/2018","P7.2.057 Landscaping",NA,NA,600,NA
"02/05/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"02/05/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"02/05/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"02/06/2018","",NA,NA,4.37554,NA
"02/06/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"02/06/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"02/06/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"02/06/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"02/06/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"02/06/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"02/06/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"02/06/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"02/06/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"02/06/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"02/06/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"02/06/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"02/06/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"02/06/2018","P7.2.057 Landscaping",NA,NA,600,NA
"02/06/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"02/06/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"02/06/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"02/07/2018","",NA,NA,4.37554,NA
"02/07/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"02/07/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"02/07/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"02/07/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"02/07/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"02/07/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"02/07/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"02/07/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"02/07/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"02/07/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
